Tangra v3.7.0.5
Measurments of 4 objects
D:\SharpCap Captures\(75975) 2000 CD121\2025-12-04\Light\08_48_48Z_.adv
Asteroidal Video (ADV2.16), Time: Timestamp Saving During Recording


Reversed Gamma, Colour, Measured Band, Integration, Digital Filter, Signal Method, Background Method, Instrumental Delay Corrections, Camera, AAV Integration, First Frame, Last Frame, Reversed Camera Response, Video File Format, Acquisition Delay (ms)
1.00,no,Red,no,NoFilter,AperturePhotometry,AverageBackground,Not Required,asi462mm,,7,1383,,ADV,8.0

Object, Type, Aperture, Tolerance, FWHM, Measured, StartingX, StartingY, Fixed
1,OccultedStar,3.09,4.78,2.33,yes,141.7,253.0,no
2,GuidingStar,3.09,,2.32,yes,105.9,276.7,no
3,GuidingStar,3.09,,2.37,yes,165.0,142.9,no
4,GuidingStar,3.09,,2.32,yes,365.9,244.6,no


FrameNo,Time (UT),Signal (1), Background (1),Signal (2), Background (2),Signal (3), Background (3),Signal (4), Background (4)
84,[08:48:53.287],87028,39842,102540,47301,89393,43071,161480,46063
85,[08:48:53.347],83382,41882,99688,43481,108610,49314,147200,44294
86,[08:48:53.407],84102,44829,102100,46435,102200,44545,178440,44221
87,[08:48:53.467],91561,42945,103870,45171,99493,46012,157480,42966
88,[08:48:53.527],74663,44950,103920,44274,111250,45634,158130,46300
89,[08:48:53.587],89537,44804,98426,46805,110880,45922,152120,46755
90,[08:48:53.647],87040,45751,104580,45151,98301,44709,158720,45432
91,[08:48:53.707],88124,42903,106280,45100,115570,46171,147900,41610
92,[08:48:53.767],98586,47282,98238,45097,99224,46261,158140,40955
93,[08:48:53.827],86758,42111,100300,46659,99524,44856,171430,44103
94,[08:48:53.887],83656,46000,114170,47109,97220,47094,187370,44463
95,[08:48:53.947],80050,43898,109800,44130,100450,46638,170670,46480
96,[08:48:54.007],84182,45317,93550,43368,106160,47823,159880,44165
97,[08:48:54.067],90880,41901,114080,42984,98107,45082,178350,45826
98,[08:48:54.128],87722,44220,101250,41368,86951,43126,162210,45910
99,[08:48:54.187],92754,44507,109750,45288,99473,46532,160570,46041
100,[08:48:54.247],82688,43307,108740,45233,90975,39123,168970,42717
101,[08:48:54.307],82296,44671,113230,45999,108950,43768,183270,43837
102,[08:48:54.367],85946,45946,98505,46773,101640,45110,177850,45633
103,[08:48:54.427],83090,43764,100860,43943,102860,38749,172940,45119
104,[08:48:54.487],82136,42612,104440,47708,106520,46225,159200,44835
105,[08:48:54.547],76517,43467,93624,45779,105820,45690,154600,45107
106,[08:48:54.607],87466,42222,104730,44617,109550,40261,160580,44076
107,[08:48:54.667],95436,44913,100030,40819,105930,43087,149450,41032
108,[08:48:54.727],94179,43953,98884,45358,101010,44603,176140,42452
109,[08:48:54.787],84091,43966,112760,46662,107580,45092,150560,45226
110,[08:48:54.847],78039,45711,103590,45395,115610,44442,166310,43777
111,[08:48:54.907],85037,40798,103510,46245,111740,46537,163920,45452
112,[08:48:54.967],93448,47801,100330,46928,100710,46405,164030,45469
113,[08:48:55.027],91347,44921,104060,45203,102830,44317,171870,44553
114,[08:48:55.087],75966,43910,103340,45761,98686,45456,159940,44185
115,[08:48:55.147],89116,45866,95828,43405,109300,46293,147210,46120
116,[08:48:55.207],85990,44617,99518,46557,111190,47606,169950,44157
117,[08:48:55.267],90317,43290,95565,47152,100370,45334,158550,45270
118,[08:48:55.327],95181,43764,109960,42053,108580,44963,141930,44251
119,[08:48:55.387],89701,43581,112220,47937,94411,45239,155690,43656
120,[08:48:55.448],87594,44385,91649,45337,113580,46285,150840,44962
121,[08:48:55.507],96989,43505,104150,45013,112540,48329,170270,44541
122,[08:48:55.568],84624,46783,106740,44783,114790,46074,161710,44826
123,[08:48:55.628],78532,43639,106440,49058,101840,44405,151400,48000
124,[08:48:55.687],80061,43770,102460,41451,103870,40688,171400,43123
125,[08:48:55.747],79402,39840,108110,46142,99270,45276,162200,44814
126,[08:48:55.807],76341,46192,105300,46550,101940,44994,153070,45389
127,[08:48:55.867],91310,44705,95789,39588,109470,46216,167340,39981
128,[08:48:55.927],79832,45805,90259,45776,101920,45831,175850,45155
129,[08:48:55.987],74855,45081,115980,46621,108390,46359,149730,46485
130,[08:48:56.047],71861,44981,102300,43829,106850,47606,168820,44019
131,[08:48:56.107],86535,44770,108900,46112,109450,43278,147940,46268
132,[08:48:56.167],78860,44714,88027,45424,99098,45660,164240,44443
133,[08:48:56.228],83996,46298,109100,44944,104060,48209,160310,44671
134,[08:48:56.287],81861,45108,103070,44453,102700,46425,160840,43683
135,[08:48:56.348],88006,40719,106390,46365,111680,41320,163750,46159
136,[08:48:56.408],80172,43675,103440,45259,108770,45370,163830,47754
137,[08:48:56.468],82109,44414,100080,44553,98903,44408,167260,45381
138,[08:48:56.528],81420,44953,107600,44047,102840,42244,172380,46053
139,[08:48:56.588],76558,45214,112740,44863,110140,47221,150250,44267
140,[08:48:56.648],92108,44071,98928,40241,107300,47221,155510,43948
141,[08:48:56.707],90995,45194,106830,43712,102320,46359,154850,44599
