Tangra v3.7.0.5
Measurments of 4 objects
D:\SharpCap Captures\(75975) 2000 CD121\2025-12-04\Light\08_48_48Z_.adv
Asteroidal Video (ADV2.16), Time: Timestamp Saving During Recording


Reversed Gamma, Colour, Measured Band, Integration, Digital Filter, Signal Method, Background Method, Instrumental Delay Corrections, Camera, AAV Integration, First Frame, Last Frame, Reversed Camera Response, Video File Format, Acquisition Delay (ms)
1.00,no,Red,no,NoFilter,AperturePhotometry,AverageBackground,Not Required,asi462mm,,7,1383,,ADV,8.0

Object, Type, Aperture, Tolerance, FWHM, Measured, StartingX, StartingY, Fixed
1,OccultedStar,3.09,4.78,2.33,yes,141.7,253.0,no
2,GuidingStar,3.09,,2.32,yes,105.9,276.7,no
3,GuidingStar,3.09,,2.37,yes,165.0,142.9,no
4,GuidingStar,3.09,,2.32,yes,365.9,244.6,no


FrameNo,Time (UT),Signal (1), Background (1),Signal (2), Background (2),Signal (3), Background (3),Signal (4), Background (4)
350,[08:49:09.250],92865,43117,118560,47975,95284,49019,161270,44702
351,[08:49:09.311],79792,44647,102880,44800,105400,45363,160770,43249
352,[08:49:09.370],85233,41682,102500,44339,100650,44773,166880,44884
353,[08:49:09.430],81805,45592,106910,45911,99767,43987,161540,44434
354,[08:49:09.490],85663,43710,103900,45534,102970,45134,169050,43781
355,[08:49:09.550],89972,42913,102340,44929,113390,48055,158730,46593
356,[08:49:09.610],89431,45382,93213,43583,99176,43190,156620,44760
357,[08:49:09.670],95185,45322,94698,45144,100590,43286,159930,46210
358,[08:49:09.730],91230,45309,101720,43974,102830,46813,159090,44239
359,[08:49:09.790],92294,48414,107790,45574,112690,44413,156210,46760
360,[08:49:09.850],83490,44301,96857,42152,103670,44556,154070,44693
361,[08:49:09.911],86599,45857,98200,45205,100330,47581,167820,44081
362,[08:49:09.970],83052,43857,118610,44523,110630,45173,159040,43368
363,[08:49:10.030],87958,44825,113190,44907,116750,45369,175970,46385
364,[08:49:10.090],78793,44479,116930,45526,103240,46545,169220,37478
365,[08:49:10.150],85048,45437,104600,43577,98490,42422,155290,41361
366,[08:49:10.210],95355,43944,102730,45797,106800,45048,163740,43931
367,[08:49:10.270],99423,46721,105630,45100,95485,44782,163020,45912
368,[08:49:10.330],88836,43627,95226,44927,98413,44369,147230,46175
369,[08:49:10.390],86335,43006,107730,44639,108190,44765,173790,44831
370,[08:49:10.450],83453,45168,97560,44576,100780,42765,173720,44840
371,[08:49:10.510],88266,45366,104550,46688,105360,44501,151960,44608
372,[08:49:10.570],85241,45066,101940,43144,100270,43491,172530,44770
373,[08:49:10.630],82349,45139,107290,45862,96362,46486,170830,46372
374,[08:49:10.690],84246,43775,114830,45400,93414,40023,153330,45206
375,[08:49:10.751],85322,42704,101330,44999,96417,46775,160870,42752
376,[08:49:10.810],87443,44412,118170,46419,92642,46958,158580,45218
377,[08:49:10.871],92724,43472,94078,44422,105140,44584,159380,40668
378,[08:49:10.930],85012,42431,103850,43465,115970,46224,156230,45489
379,[08:49:10.990],88133,43910,107820,44840,108230,43283,164670,43658
380,[08:49:11.050],85843,45103,110130,46219,104490,46570,172250,44620
381,[08:49:11.112],79922,45291,114470,44979,95600,46569,161570,45096
382,[08:49:11.170],76695,46130,113160,43900,109140,46186,173520,47461
383,[08:49:11.230],85941,46467,98184,45260,102400,45977,162860,42220
384,[08:49:11.290],80885,44390,97360,45649,103450,44285,168560,46469
385,[08:49:11.351],89510,42036,101400,44054,99722,42822,156150,44002
386,[08:49:11.411],84353,45440,105290,46476,98306,45783,169950,42365
387,[08:49:11.470],84894,40606,112310,47680,107530,44328,162300,44767
388,[08:49:11.530],87212,42470,104540,46988,104510,44150,179430,40953
389,[08:49:11.590],94953,45508,107890,44029,101600,44634,177040,42972
390,[08:49:11.650],75962,43809,100020,45420,105310,45644,150170,45553
391,[08:49:11.710],95202,45364,97979,45069,100780,43812,160820,47149
392,[08:49:11.771],90024,44803,99072,45979,97343,42429,159930,38381
393,[08:49:11.830],84897,45513,103180,44628,94628,40143,162770,43976
394,[08:49:11.890],92640,45338,93263,45498,96972,44214,161540,46093
395,[08:49:11.950],84817,47146,113530,42181,87840,46573,161790,43817
396,[08:49:12.010],84722,45515,108790,44815,101500,43354,165340,44866
397,[08:49:12.070],87482,41443,115120,44681,112410,45602,165530,42249
398,[08:49:12.130],96441,42642,105200,46759,105290,45356,170380,41441
399,[08:49:12.190],87358,45459,92723,43220,101710,46605,172300,45247
400,[08:49:12.251],97154,44422,111690,45525,109440,45339,179040,46435
401,[08:49:12.311],86752,45129,97566,43274,105990,45946,157050,45104
402,[08:49:12.370],83167,44326,108130,46179,109200,46588,153290,43921
403,[08:49:12.431],82829,44435,106560,45018,104900,45701,159150,37593
404,[08:49:12.490],93327,46328,106760,46466,96616,45100,168650,40943
405,[08:49:12.551],85104,45841,115700,46997,108900,42301,165710,44164
406,[08:49:12.610],77713,43722,114500,44590,95083,44358,171620,42608
407,[08:49:12.670],87885,44326,104720,44822,99210,44554,176310,45661
408,[08:49:12.734],84879,46161,94231,41295,104080,44647,175840,46365
409,[08:49:12.791],94511,45433,105770,45630,104270,47103,167320,46348
410,[08:49:12.851],86605,40981,106910,44771,99292,45751,157100,45834
411,[08:49:12.911],88010,46373,95117,38586,105370,46175,173940,44767
412,[08:49:12.971],94065,44194,108400,47262,99842,44481,156540,45775
413,[08:49:13.030],86216,42249,111000,45933,92817,42584,154850,45287
414,[08:49:13.090],86791,45396,104810,45721,96202,46562,168300,39506
415,[08:49:13.151],88994,42861,99772,46647,94983,44161,164190,43136
416,[08:49:13.210],80752,45829,99969,46827,113000,46845,171770,44633
417,[08:49:13.270],96654,43884,109450,44320,113790,47924,181240,41729
418,[08:49:13.330],87719,46856,103330,46019,110610,44538,157940,42575
419,[08:49:13.391],79289,43428,108470,45173,97057,45147,172410,45348
420,[08:49:13.451],89070,44445,102440,44622,87517,44978,163370,47329
421,[08:49:13.511],82204,46558,117790,42436,106650,44179,170330,44541
422,[08:49:13.571],85862,44904,117260,48656,106820,42198,158970,46016
423,[08:49:13.631],90549,46070,101080,45234,107830,45788,173380,46077
424,[08:49:13.691],84654,40019,109920,43670,101270,43020,162140,46273
425,[08:49:13.751],88598,44007,110430,45770,92859,44843,174630,44819
426,[08:49:13.811],91418,44250,99451,44824,101180,42426,161230,45534
427,[08:49:13.871],77162,45974,100710,45075,106270,44331,148710,44139
428,[08:49:13.931],88064,45022,113000,45450,94021,46257,153770,46317
429,[08:49:13.991],92630,44021,101370,43552,97143,44280,171490,46211
430,[08:49:14.051],84683,45779,108090,45441,110210,45031,172860,43786
431,[08:49:14.111],86793,46264,111640,45815,100140,46038,155120,45967
432,[08:49:14.171],86934,45653,106980,44542,111080,43569,182060,48212
433,[08:49:14.231],79474,45258,104100,45812,104480,45498,161260,43961
434,[08:49:14.297],98426,43888,103380,44372,108660,45466,157250,46332
435,[08:49:14.351],71670,44901,108530,44883,107570,45475,173380,44114
436,[08:49:14.412],95038,41587,103960,45194,102070,43008,171050,43877
437,[08:49:14.472],91178,40522,107760,45684,110700,46399,165930,37495
438,[08:49:14.531],85913,45716,114600,42505,95090,45763,175450,46635
439,[08:49:14.591],85165,44057,105290,45414,115140,41126,177700,44319
440,[08:49:14.651],80276,45103,106920,42950,112500,46872,170140,43226
441,[08:49:14.711],97842,42548,114750,46042,101390,47607,148530,44282
442,[08:49:14.771],84653,44831,94618,46822,107550,45619,168330,47219
443,[08:49:14.831],77272,44224,100490,38524,93060,43810,167440,44761
444,[08:49:14.891],80138,45051,95762,48115,104570,46565,139180,43334
445,[08:49:14.951],84974,45907,110200,46568,95810,41508,162520,46509
446,[08:49:15.011],80494,44691,110140,41511,97396,45723,178440,42842
447,[08:49:15.071],96552,46871,116620,47018,113550,46917,166160,41682
448,[08:49:15.131],88773,43390,105710,44200,91827,46771,163490,44612
449,[08:49:15.191],90169,44768,103980,44144,115040,43484,157190,46196
450,[08:49:15.252],84620,45373,105510,46861,103810,45609,179560,45589
451,[08:49:15.311],86929,46320,108980,43891,104550,46765,140570,45110
452,[08:49:15.372],87476,45928,108390,44616,99638,43635,179010,44780
453,[08:49:15.431],92775,46472,99773,44975,98975,45202,149420,44115
454,[08:49:15.491],84070,44584,99344,45217,93878,41658,153260,44741
455,[08:49:15.551],84832,44609,108280,44991,93312,45971,153440,44426
456,[08:49:15.611],85436,43564,102600,46240,93733,44767,164630,44962
457,[08:49:15.671],84791,44946,112010,46154,108230,40259,177530,45243
458,[08:49:15.731],78648,44206,102090,45005,106420,46356,176600,45723
459,[08:49:15.791],92806,45634,99232,43610,102660,45483,156800,45576
460,[08:49:15.851],81035,45345,107440,46629,112670,40717,165140,43396
461,[08:49:15.912],76060,45453,105320,44418,108660,41609,172430,42902
462,[08:49:15.972],84739,43017,96381,45737,100860,46159,158900,43823
463,[08:49:16.031],80906,44800,102130,44604,106400,46483,176010,44021
464,[08:49:16.091],77618,44871,101770,45655,102120,45997,177480,45417
465,[08:49:16.151],75764,44540,98524,39890,100450,42984,154830,44959
466,[08:49:16.211],80050,44570,96174,45108,91573,46570,162430,39303
467,[08:49:16.271],84773,45305,100330,45385,105100,44306,193630,46598
468,[08:49:16.331],89323,43195,112890,45009,103320,41306,153200,40882
469,[08:49:16.391],79893,45131,100970,47244,99630,41434,159270,46553
470,[08:49:16.451],87038,42652,99938,39470,105040,45920,156050,42485
471,[08:49:16.511],81871,45363,102280,46268,109170,46090,152100,47159
472,[08:49:16.571],81935,45982,105200,45830,102410,43440,155380,45578
473,[08:49:16.631],82365,45341,97680,48286,105470,45018,165920,38773
474,[08:49:16.691],88522,46292,113890,44434,103580,47096,172470,44333
475,[08:49:16.752],87729,48014,105890,44056,107540,45139,158310,44077
476,[08:49:16.811],77200,45408,109590,46505,111020,45656,166780,44700
477,[08:49:16.871],82112,45710,92764,46533,107740,48566,169820,45676
478,[08:49:16.931],81890,44446,109630,43037,99336,45652,171340,44344
479,[08:49:16.991],85664,45935,105640,44407,101090,47248,171320,45481
480,[08:49:17.052],82214,42303,110850,44871,94877,45636,152130,44745
481,[08:49:17.111],81696,46314,103270,44327,105280,45282,165380,43822
482,[08:49:17.171],77136,43465,91990,44548,106540,46683,165630,45366
483,[08:49:17.231],83780,44300,106890,44222,101300,45876,167070,44892
484,[08:49:17.292],82804,44359,106950,43220,86029,46269,153840,45594
485,[08:49:17.352],86000,44701,96572,44606,102310,46955,164350,43373
486,[08:49:17.412],81451,48385,102200,40804,96711,43934,166590,45611
487,[08:49:17.472],89282,45675,107010,44255,103310,43575,151770,45161
488,[08:49:17.531],72600,46044,104360,46022,106150,45827,163730,42366
489,[08:49:17.591],83973,47305,99099,45635,109900,44884,156410,44086
490,[08:49:17.651],93518,44771,94672,46025,103890,46011,151780,43396
491,[08:49:17.712],92697,46035,107580,45698,95590,44488,165680,46234
492,[08:49:17.771],84742,43911,97614,44940,101860,44169,165950,43197
493,[08:49:17.832],83670,42785,104600,44934,99942,45729,166370,44014
494,[08:49:17.891],85102,46620,106440,44487,105860,46846,172450,45570
495,[08:49:17.952],81045,44631,98143,47143,109020,44614,188150,46603
496,[08:49:18.012],84832,46510,95633,44305,101810,42640,180050,44738
497,[08:49:18.071],85292,44637,106260,44438,104040,43460,180040,44788
498,[08:49:18.131],84366,42682,104280,46417,99477,45602,162190,44924
499,[08:49:18.192],88442,44222,98841,44669,104500,46579,178340,45425
500,[08:49:18.252],75440,45820,99299,45683,98817,47407,165720,43176
501,[08:49:18.312],79253,43971,99499,45171,105710,46667,173150,44688
502,[08:49:18.372],82846,46184,102580,45455,96172,45890,160650,45944
503,[08:49:18.431],81183,45475,112680,43393,109850,42708,161150,42847
504,[08:49:18.492],89960,42262,96906,47150,116470,44713,152290,45583
505,[08:49:18.552],84410,39873,105400,42844,109740,43982,168160,45647
506,[08:49:18.611],85356,46855,97217,45401,103770,45944,159970,45505
507,[08:49:18.672],88505,43399,101000,46447,107800,43132,163220,45692
508,[08:49:18.732],90051,46140,100390,43340,102980,45074,175700,48351
509,[08:49:18.792],78621,43836,100100,45079,99652,45883,160470,42659
510,[08:49:18.852],79734,45435,92256,45970,116190,45094,159910,44539
511,[08:49:18.912],82368,43882,100150,43847,107840,45407,187680,44745
512,[08:49:18.972],83397,45231,108870,45641,107360,45429,147220,41252
513,[08:49:19.032],76452,44563,109510,46160,98332,43574,168320,42247
514,[08:49:19.091],85873,46114,101190,44486,103630,44890,161340,43709
515,[08:49:19.151],89504,42913,112140,44049,96166,45829,173070,46144
516,[08:49:19.212],88101,45143,92300,45830,99618,44977,156510,44184
517,[08:49:19.272],89503,44336,96478,47301,115380,46634,157280,44114
518,[08:49:19.332],87104,45262,93342,44760,102160,42040,177430,44174
519,[08:49:19.392],83577,45092,98580,44263,104170,42963,177510,45336
520,[08:49:19.452],88811,46489,89581,46263,103240,46423,160840,46054
521,[08:49:19.512],82652,45098,102450,46562,107900,47208,157440,42483
522,[08:49:19.572],90828,44304,108330,40802,107600,42501,154680,44027
523,[08:49:19.632],87183,46025,100530,44223,99489,44367,168940,44684
524,[08:49:19.692],79966,38654,107560,43936,106970,45386,157100,45277
525,[08:49:19.753],81599,45588,105810,45944,104680,46530,156360,45226
526,[08:49:19.812],82485,42399,110150,46811,102150,44441,161310,46453
527,[08:49:19.872],88378,44623,108910,45766,103880,42305,167410,47517
528,[08:49:19.932],79714,41666,104290,45221,100370,45087,173760,43772
529,[08:49:19.992],93868,45623,104010,45580,93761,43326,172870,42420
530,[08:49:20.052],92105,44261,107560,46197,93304,45148,154760,43141
531,[08:49:20.112],85388,39864,93557,45522,102710,46746,159210,44613
532,[08:49:20.172],75350,45997,99422,46168,105070,48738,161660,46230
533,[08:49:20.232],81779,47164,107280,40373,89951,43711,168250,44920
534,[08:49:20.292],83058,42864,102030,44902,94132,46890,166220,46822
535,[08:49:20.352],88215,45762,105950,45330,107430,46164,171430,37464
536,[08:49:20.412],77959,44999,104380,45537,98657,45630,170830,43773
537,[08:49:20.472],84626,43734,108210,44394,94767,45749,159670,44310
538,[08:49:20.532],87167,47299,101410,39565,104020,46178,160410,44463
539,[08:49:20.592],77613,45550,95852,44987,98720,46140,163140,45169
540,[08:49:20.652],84652,44537,103130,42365,98567,45959,155360,43983
541,[08:49:20.713],84821,42750,108670,46993,104260,44531,159460,45503
542,[08:49:20.772],81855,45800,93647,42306,109320,45060,160850,45987
543,[08:49:20.832],81696,35870,98370,47253,97151,47119,177040,39640
544,[08:49:20.892],81054,43129,119670,43848,103090,45868,153860,45498
545,[08:49:20.952],90636,41255,109420,45762,103980,45402,171680,44883
546,[08:49:21.012],79674,44242,99804,44947,101620,47404,160890,44214
547,[08:49:21.072],85350,40172,99446,46949,104410,44853,146520,46307
548,[08:49:21.132],81998,44299,102770,44508,103090,47971,149740,43420
549,[08:49:21.193],81020,44778,105360,45315,101800,44818,169550,44187
550,[08:49:21.253],79082,44546,102260,41124,99068,46357,156840,43760
551,[08:49:21.312],80836,42056,105190,43234,109930,46574,173660,47774
552,[08:49:21.372],85445,42851,105410,45232,103350,46095,144410,44047
553,[08:49:21.432],78553,45526,101820,44318,100500,44796,161190,44312
554,[08:49:21.493],81796,42506,102510,45526,99858,44963,171310,45623
555,[08:49:21.552],85074,43760,101460,42703,99756,46521,176360,45191
556,[08:49:21.612],85775,43815,106690,43451,100530,46292,163210,43434
557,[08:49:21.672],82542,43789,104420,44100,115220,44785,175590,42939
558,[08:49:21.732],77674,47215,99702,44246,111490,47437,168150,46178
559,[08:49:21.792],86181,46009,101690,46086,96621,43479,164130,46487
560,[08:49:21.852],90294,41183,104120,44409,93981,39778,145830,43636
561,[08:49:21.913],93794,45084,115280,44150,114440,48170,161530,43704
562,[08:49:21.973],88124,46559,113190,44665,103400,45991,171320,41551
563,[08:49:22.033],85763,44953,95883,44604,98957,47766,177110,43658
564,[08:49:22.092],81546,43407,96022,44969,98198,46230,158070,45656
565,[08:49:22.152],85237,46512,99992,45549,97035,44440,163340,44994
566,[08:49:22.212],86926,44588,102190,45380,109280,44897,160350,44823
567,[08:49:22.272],82309,46642,95758,44474,112920,41314,154150,42413
568,[08:49:22.332],76232,44861,99186,43871,100090,45866,142950,42316
569,[08:49:22.392],85180,44366,102170,45862,108070,47043,163830,44884
570,[08:49:22.452],82239,45845,111990,44911,96947,46289,157880,45626
571,[08:49:22.512],94624,45315,99484,44346,110740,45988,164610,45605
572,[08:49:22.572],81576,43102,105850,43458,92707,48429,174310,44803
573,[08:49:22.632],85332,43496,109090,43673,95607,45798,171130,43897
574,[08:49:22.693],81111,41949,97444,44707,97226,47780,154870,40134
575,[08:49:22.752],87998,42793,100880,44914,112790,44388,162110,46231
576,[08:49:22.813],86516,43775,104380,45236,105500,42076,159400,44735
577,[08:49:22.873],75719,43199,100230,44445,99658,45811,159400,45956
578,[08:49:22.932],97608,44185,110770,45665,99174,42256,156850,44903
579,[08:49:22.992],80626,42908,104060,46099,92561,46472,174220,45561
580,[08:49:23.052],81843,42612,111480,45349,87915,45181,155970,45482
581,[08:49:23.112],93774,42674,107100,45744,105760,44874,147820,45896
582,[08:49:23.172],69019,43671,95780,45800,102170,41629,167180,42995
583,[08:49:23.232],78778,45984,104980,44248,112740,42539,157460,44149
584,[08:49:23.292],89411,43746,105740,46987,110260,46525,165160,43852
585,[08:49:23.353],89166,43857,105370,44406,99150,43488,153750,43958
586,[08:49:23.413],82048,44796,105020,45794,110210,45696,165370,47844
587,[08:49:23.473],83616,41146,109720,46093,105850,44191,162390,45600
588,[08:49:23.533],84364,45761,100700,44029,104530,45576,172690,45051
589,[08:49:23.592],81260,39250,89525,46589,94794,47151,146150,41946
590,[08:49:23.652],80931,45614,112510,45125,109740,39934,143930,43590
591,[08:49:23.712],82890,44589,90079,45340,106150,46159,164890,45621
592,[08:49:23.772],87359,37511,99374,46575,99692,46164,163820,44734
593,[08:49:23.832],79628,46969,97000,43190,100770,46819,164210,43558
594,[08:49:23.892],82428,42374,104040,43560,91509,43814,156490,42060
595,[08:49:23.953],94346,44977,102130,46264,111230,42462,159340,45140
596,[08:49:24.012],87290,40962,99044,44039,105240,46532,157970,43845
597,[08:49:24.072],87892,46849,117970,43751,106900,45601,164700,43214
598,[08:49:24.133],77773,45178,103320,43778,106490,43020,158960,44792
599,[08:49:24.193],77112,43972,102580,41544,107550,45949,153720,42647
600,[08:49:24.253],80324,44353,101060,44518,106780,46554,160320,43613
601,[08:49:24.313],87350,46753,109090,44442,100750,45315,159000,44820
602,[08:49:24.373],84480,42068,95775,44485,89808,44366,162080,42138
603,[08:49:24.433],89523,45435,107800,45162,102770,47164,174130,45674
604,[08:49:24.493],75232,41749,98158,45088,107570,47433,163670,45685
605,[08:49:24.553],82926,44873,109430,43995,110470,45151,150670,43854
606,[08:49:24.613],75646,43929,92628,45322,105020,45905,157800,44461
607,[08:49:24.673],85622,38485,98110,45696,100610,45840,184200,45159
608,[08:49:24.733],84970,45726,98014,44839,109780,44958,166290,45746
609,[08:49:24.793],90712,45328,102470,44018,97245,43680,174760,38432
610,[08:49:24.853],80004,38567,111210,43061,101390,39941,160480,44785
611,[08:49:24.913],85548,42885,106170,43781,116530,46059,155370,43221
612,[08:49:24.974],91692,44915,95476,47240,103540,46323,181420,44075
613,[08:49:25.034],84362,44627,106790,44207,107940,47127,154300,43849
614,[08:49:25.093],80842,43428,104050,45815,106650,46944,161420,44622
615,[08:49:25.153],87230,44326,109580,46204,102970,47673,151720,43874
616,[08:49:25.213],87105,43870,104080,41637,99875,38132,156560,43719
617,[08:49:25.273],88724,42999,86583,46920,117270,46619,173320,45180
618,[08:49:25.333],86214,44985,103300,44820,102480,40277,138370,44873
619,[08:49:25.393],84604,43183,94133,45410,98868,39477,149180,44637
620,[08:49:25.453],84418,45348,103910,41785,111040,44508,158390,43472
621,[08:49:25.513],89528,44488,102480,46606,105170,44717,161450,41674
622,[08:49:25.573],83310,44848,102730,45078,110750,46406,177920,46182
623,[08:49:25.633],68414,46074,94264,47227,100370,47294,143890,40462
624,[08:49:25.693],81635,45584,91390,43673,111960,46677,161520,43458
625,[08:49:25.753],86432,46012,88286,45936,104210,41747,170050,44658
626,[08:49:25.813],85154,43280,95543,43105,102630,45646,167410,45364
627,[08:49:25.874],85119,46036,102720,44695,105120,45020,163120,46160
628,[08:49:25.933],81481,38439,103460,47013,116440,47594,158700,43192
629,[08:49:25.993],77221,45660,94889,46533,99506,46323,164050,44793
630,[08:49:26.053],92768,44115,99197,46680,98759,44830,167580,43861
631,[08:49:26.113],83192,42314,96646,43751,101150,45218,141320,43466
632,[08:49:26.178],94865,42336,110920,46030,111590,45459,165540,43570
633,[08:49:26.233],84996,46612,102050,44394,103530,47825,160160,45438
634,[08:49:26.293],93068,45557,108290,45727,103200,46042,155350,43856
635,[08:49:26.353],79350,44917,105020,46238,93238,42701,171190,45214
636,[08:49:26.413],87773,43605,110880,43140,99350,46156,170060,44265
637,[08:49:26.474],77885,44862,93154,43958,104840,47732,153600,43035
638,[08:49:26.533],81974,42675,87567,45094,107500,46789,163080,43643
639,[08:49:26.593],83376,45660,94391,40194,99834,44832,161260,43509
640,[08:49:26.653],83919,43420,108260,44047,94777,44227,184510,45319
641,[08:49:26.713],83288,41458,106340,43191,111260,44030,142010,45914
642,[08:49:26.773],83658,46212,103090,45921,102440,46683,159690,45842
643,[08:49:26.833],81351,43503,97136,44726,106100,45522,173550,45154
644,[08:49:26.893],87723,44929,104790,43818,100610,43366,178400,44526
645,[08:49:26.953],78488,45491,104170,47544,102530,46601,159590,46353
646,[08:49:27.013],97369,47091,97576,46045,106160,42094,157160,44584
647,[08:49:27.073],91131,45447,99836,46289,110240,46990,151080,45037
648,[08:49:27.133],77382,43709,110000,43429,106380,47205,169300,45258
649,[08:49:27.193],84238,41209,98756,42090,101930,45605,157350,43499
650,[08:49:27.254],76826,42816,87943,43830,107270,45660,152700,43699
651,[08:49:27.313],83644,43145,92168,40081,113640,44575,161610,44011
652,[08:49:27.374],78609,44911,93835,46115,102090,47115,157360,43824
653,[08:49:27.433],74588,44721,104670,42624,96446,42313,165690,46215
654,[08:49:27.493],85497,44123,99167,45865,101880,46656,164090,44388
655,[08:49:27.553],82617,44992,100370,43207,103490,44749,147940,44518
656,[08:49:27.613],93921,43834,104430,43239,105740,44782,164450,43729
657,[08:49:27.673],81742,43660,100800,45264,106340,44302,144990,44747
658,[08:49:27.735],87493,42660,102170,42811,101340,46592,149350,44935
659,[08:49:27.793],92359,47184,90097,43283,93660,45328,171740,44653
660,[08:49:27.853],80262,45589,92621,46161,110940,45971,155140,44539
661,[08:49:27.914],86064,41767,106450,44658,107570,42453,159370,40391
662,[08:49:27.974],73706,44857,89820,46132,106980,44790,165070,45510
663,[08:49:28.034],81692,44051,107140,46085,98236,42815,171120,42591
664,[08:49:28.093],91755,45617,91503,42960,107130,44800,164410,46079
665,[08:49:28.153],88346,45346,103720,41111,97548,47432,153680,45930
666,[08:49:28.214],84013,43934,98774,40152,110110,47085,160190,42295
667,[08:49:28.273],82779,41595,101540,43424,106070,46657,172150,44671
668,[08:49:28.333],85328,46411,101950,45222,99315,43719,171850,44411
669,[08:49:28.394],89431,43151,97890,44541,104330,46213,147760,45586
670,[08:49:28.453],81879,45111,112990,45572,96588,45680,168180,45181
671,[08:49:28.513],86885,46146,96677,44137,111270,45683,156100,43413
672,[08:49:28.574],86216,39476,90578,45472,102880,43982,165670,43351
673,[08:49:28.633],80493,42750,98866,45880,111110,45001,151190,42146
674,[08:49:28.694],83094,46597,102950,45214,101100,46847,175060,45500
675,[08:49:28.754],90105,42965,109220,41427,124830,45471,166420,44262
676,[08:49:28.814],85057,43201,98004,46121,100580,44807,168460,45440
677,[08:49:28.874],76145,43518,105270,45018,105300,46052,156820,44355
678,[08:49:28.934],70182,45308,94848,44163,106620,44825,162390,45961
679,[08:49:28.994],83267,46522,98496,47710,124570,44312,154540,42249
680,[08:49:29.053],95087,44262,101620,45431,112510,45400,166130,45774
681,[08:49:29.113],79789,44401,99037,45533,103460,45908,159280,45750
682,[08:49:29.174],79568,45611,102840,46787,112460,44808,161200,44044
683,[08:49:29.233],81962,43543,94336,45084,102810,46668,153480,47710
684,[08:49:29.293],82497,42515,96362,44519,99372,44043,158520,44494
685,[08:49:29.359],87905,44933,101160,42436,103560,45550,161840,45758
686,[08:49:29.414],89280,46176,98402,43525,100460,47992,163700,45008
687,[08:49:29.474],84744,45442,92059,46065,98022,46067,135270,43753
688,[08:49:29.534],89693,45045,98774,44214,110460,43759,173510,42128
689,[08:49:29.593],92430,44483,100910,44012,105460,43222,157940,44747
690,[08:49:29.653],84253,46376,93425,45695,107420,46045,161860,42588
691,[08:49:29.713],76413,45181,107780,45069,96926,45851,173880,42705
692,[08:49:29.774],96875,46077,91633,46235,98972,43309,170920,45289
693,[08:49:29.833],89844,44382,94289,46183,105170,44327,144550,43815
694,[08:49:29.893],80078,44986,89355,45553,100110,41708,168070,43345
695,[08:49:29.954],80397,46181,117250,44255,108500,48269,148200,42567
696,[08:49:30.013],70396,45457,95578,44834,99746,46285,167350,42726
697,[08:49:30.073],86762,44976,107760,44580,101680,43042,159590,43315
698,[08:49:30.134],72969,44654,92656,45356,104990,45022,152480,46953
699,[08:49:30.193],74848,44977,101810,43131,107420,40799,158790,44298
700,[08:49:30.254],88131,43744,96219,44856,109310,46613,157530,44572
701,[08:49:30.314],80344,46731,93928,45705,104060,46961,174780,44195
702,[08:49:30.373],85187,43884,107780,39574,97359,39791,152300,45486
703,[08:49:30.434],82498,44053,94232,43780,110010,39878,158880,44435
704,[08:49:30.494],83697,46312,112290,46210,114120,46401,146170,42173
705,[08:49:30.553],84915,46513,96805,44783,97113,41954,159530,44874
706,[08:49:30.614],83857,45231,95989,42699,98099,44247,161770,45900
707,[08:49:30.674],77569,43772,104370,43271,98997,47154,179340,42300
708,[08:49:30.734],79413,45237,100960,45305,110930,46872,162320,46981
709,[08:49:30.794],86445,45965,101820,40104,99824,43690,152840,45465
710,[08:49:30.854],92023,45704,94470,46663,108720,38978,173330,44875
711,[08:49:30.914],88631,43719,103350,45057,109950,45374,149260,45160
712,[08:49:30.974],92464,41899,105060,46684,107500,44491,161160,44960
713,[08:49:31.034],78659,45390,102390,44299,105420,47124,149940,42845
714,[08:49:31.094],80434,44957,99791,44838,109620,46046,153180,46213
715,[08:49:31.154],75433,47709,106290,42760,107440,44072,164550,42416
716,[08:49:31.214],79932,45613,106780,44899,102300,43527,156480,45233
717,[08:49:31.274],84753,44888,105430,46307,115420,42617,159200,44252
718,[08:49:31.334],86489,43405,104760,46101,93939,40812,167740,44324
719,[08:49:31.394],85450,46246,101850,44680,108690,42302,150360,43093
720,[08:49:31.454],78698,43769,105190,47325,97112,42692,153730,43522
721,[08:49:31.514],83735,45777,107270,43971,94001,46475,151020,44967
722,[08:49:31.574],87166,46083,95134,46682,99279,43503,177760,45068
723,[08:49:31.634],88778,46428,103090,46025,106620,47597,151600,42893
724,[08:49:31.694],84236,43087,106820,43849,112220,43968,164270,44917
725,[08:49:31.754],81430,44006,105930,44239,96812,42442,155680,42554
726,[08:49:31.814],82661,43049,102710,45234,110150,45325,149870,43339
727,[08:49:31.874],86874,42833,103930,45518,99487,42741,179070,45189
728,[08:49:31.934],77216,44641,104470,42714,106590,45703,157350,44469
729,[08:49:31.994],85078,42783,109440,42735,95124,46484,163010,44352
730,[08:49:32.054],84175,41917,101200,46352,100330,46302,191060,46232
731,[08:49:32.114],85279,43704,107260,43380,99513,42981,165810,44450
732,[08:49:32.174],81590,43724,103800,43099,100570,44703,149470,43390
733,[08:49:32.234],86239,44866,96498,44136,109900,41317,134230,45610
734,[08:49:32.294],78610,44040,97928,44530,99428,47621,168910,44413
